2023-03-06 18:39:16,358 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-03-06 18:39:16,818 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2023-03-06 18:39:17,370 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:39:19,115 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:39:19,115 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:39:19,131 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:39:23,419 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:39:23,419 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:39:23,434 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 19:34:35,250 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 19:34:35,250 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 19:34:35,265 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 19:37:26,745 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 19:37:26,745 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 19:37:26,763 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 19:47:05,093 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 19:47:05,094 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 19:47:05,109 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 22:17:54,192 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 22:17:54,193 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 22:17:54,208 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 22:17:55,272 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Tweaks (/usr/share/applications/org.gnome.tweaks.desktop) Exec ['gnome-tweaks']
2023-03-06 22:17:59,549 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 22:17:59,550 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 22:17:59,565 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 22:32:36,925 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 22:32:36,925 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 22:32:36,940 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 22:32:37,898 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Tweaks (/usr/share/applications/org.gnome.tweaks.desktop) Exec ['gnome-tweaks']
